iter	Passed	Remaining
669	5712	2813
670	5718	2803
671	5723	2793
672	5728	2783
673	5733	2773
674	5740	2763
675	5746	2754
676	5754	2745
677	5762	2736
678	5767	2726
679	5772	2716
680	5777	2706
681	5782	2696
682	5787	2685
683	5792	2675
684	5796	2665
685	5801	2655
686	5806	2645
687	5811	2635
688	5817	2625
689	5823	2616
690	5828	2606
691	5834	2596
692	5840	2587
693	5844	2577
694	5849	2566
695	5853	2556
696	5857	2546
697	5862	2536
698	5868	2526
699	5874	2517
700	5880	2508
701	5887	2499
702	5895	2490
703	5905	2482
704	5910	2473
705	5919	2465
706	5924	2455
707	5930	2446
708	5935	2436
709	5940	2426
710	5945	2416
711	5954	2408
712	5960	2399
713	5965	2389
714	5971	2380
715	5975	2370
716	5980	2360
717	5985	2350
718	5991	2341
719	5996	2332
720	6026	2332
721	6062	2334
722	6070	2325
723	6077	2316
724	6082	2307
725	6100	2302
726	6109	2294
727	6116	2285
728	6124	2276
729	6130	2267
730	6137	2258
731	6144	2249
732	6150	2240
733	6155	2230
734	6161	2221
735	6167	2212
736	6177	2204
737	6184	2195
738	6189	2185
739	6194	2176
740	6199	2166
741	6205	2157
742	6211	2148
743	6217	2139
744	6222	2129
745	6228	2120
746	6233	2111
747	6239	2102
748	6244	2092
749	6252	2084
750	6259	2075
751	6267	2067
752	6277	2059
753	6285	2050
754	6291	2041
755	6296	2032
756	6301	2022
757	6308	2014
758	6313	2004
759	6318	1995
760	6323	1986
761	6328	1976
762	6334	1967
763	6340	1958
764	6345	1949
765	6350	1939
766	6355	1930
767	6360	1921
768	6366	1912
769	6376	1904
770	6381	1895
771	6386	1886
772	6391	1876
773	6396	1867
774	6401	1858
775	6409	1850
776	6415	1841
777	6420	1831
778	6430	1824
779	6439	1816
780	6449	1808
781	6456	1799
782	6467	1792
783	6479	1785
784	6490	1777
785	6497	1768
786	6503	1760
787	6510	1751
788	6518	1743
789	6525	1734
790	6532	1725
791	6538	1717
792	6544	1708
793	6550	1699
794	6556	1690
795	6562	1681
796	6568	1673
797	6574	1664
798	6582	1656
799	6588	1647
800	6593	1638
801	6599	1629
802	6605	1620
803	6612	1612
804	6618	1603
805	6626	1594
806	6633	1586
807	6639	1577
808	6646	1569
809	6651	1560
810	6657	1551
811	6662	1542
812	6667	1533
813	6673	1524
814	6679	1516
815	6685	1507
816	6691	1498
817	6697	1490
818	6702	1481
819	6706	1472
820	6711	1463
821	6716	1454
822	6720	1445
823	6725	1436
824	6729	1427
825	6734	1418
826	6738	1409
827	6743	1400
828	6748	1392
829	6753	1383
830	6758	1374
831	6763	1365
832	6768	1356
833	6773	1348
834	6778	1339
835	6784	1330
836	6789	1322
837	6794	1313
838	6798	1304
839	6803	1295
840	6807	1287
841	6812	1278
842	6816	1269
843	6821	1260
844	6825	1252
845	6830	1243
846	6834	1234
847	6839	1225
848	6843	1217
849	6848	1208
850	6852	1199
851	6857	1191
852	6861	1182
853	6866	1173
854	6870	1165
855	6875	1156
856	6879	1147
857	6884	1139
858	6889	1130
859	6900	1123
860	6908	1115
861	6917	1107
862	6941	1101
863	6983	1099
864	6990	1091
865	7005	1083
866	7014	1075
867	7023	1068
868	7035	1060
869	7045	1052
870	7057	1045
871	7066	1037
872	7074	1029
873	7081	1020
874	7090	1012
875	7103	1005
876	7115	998
877	7124	990
878	7130	981
879	7141	973
880	7152	966
881	7159	957
882	7166	949
883	7174	941
884	7182	933
885	7188	924
886	7193	916
887	7197	907
888	7203	899
889	7208	890
890	7216	882
891	7222	874
892	7227	865
893	7232	857
894	7237	849
895	7243	840
896	7248	832
897	7252	823
898	7257	815
899	7262	806
